,GPSPW,GNSPW
0,0.0,0.0
1,0.011494252873563218,0.002509410288582183
2,0.008210180623973728,0.0012547051442910915
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.008210180623973728,0.002509410288582183
9,0.003284072249589491,0.006273525721455458
10,0.0,0.009201171058134672
11,0.0,0.0
12,0.03284072249589491,0.004182350480970306
13,0.0,0.005018820577164366
14,0.0016420361247947454,0.009201171058134672
15,0.0,0.0
16,0.003284072249589491,0.002091175240485153
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.031198686371100164,0.04307820995399415
22,0.0016420361247947454,0.002509410288582183
23,0.011494252873563218,0.003345880384776244
24,0.022988505747126436,0.0029276453366792136
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0037641154328732747
28,0.0,0.0029276453366792136
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.002509410288582183
35,0.0,0.0
36,0.0,0.0
37,0.0016420361247947454,0.004182350480970306
38,0.014778325123152709,0.001672940192388122
39,0.0016420361247947454,0.0037641154328732747
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.001672940192388122
45,0.0,0.001672940192388122
46,0.0016420361247947454,0.003345880384776244
47,0.0016420361247947454,0.002509410288582183
48,0.0,0.0
49,0.0,0.0
50,0.0,0.006691760769552488
51,0.0,0.0
52,0.014778325123152709,0.006273525721455458
53,0.0,0.0
54,0.0,0.002091175240485153
55,0.008210180623973728,0.004600585529067336
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0029276453366792136
64,0.0049261083743842365,0.006691760769552488
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0016420361247947454,0.002509410288582183
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.008210180623973728,0.000836470096194061
73,0.0,0.0037641154328732747
74,0.0,0.0
75,0.0,0.0
76,0.17077175697865354,0.10121288163948139
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.022988505747126436,0.0029276453366792136
82,0.0,0.0
83,0.0,0.0
84,0.008210180623973728,0.006691760769552488
85,0.0016420361247947454,0.003345880384776244
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.009852216748768473,0.0029276453366792136
91,0.011494252873563218,0.0
92,0.0,0.0
93,0.0,0.004182350480970306
94,0.0,0.0
95,0.003284072249589491,0.000836470096194061
96,0.021346469622331693,0.0029276453366792136
97,0.013136288998357963,0.0004182350480970305
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.000836470096194061
102,0.0,0.0
103,0.008210180623973728,0.012547051442910916
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0180623973727422,0.011710581346716854
108,0.0,0.0
109,0.0,0.0
110,0.026272577996715927,0.000836470096194061
111,0.0049261083743842365,0.0029276453366792136
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.008210180623973728,0.0004182350480970305
117,0.0,0.0
118,0.0,0.0
119,0.003284072249589491,0.022166457549142617
120,0.0,0.0
121,0.019704433497536946,0.000836470096194061
122,0.011494252873563218,0.0
123,0.009852216748768473,0.006691760769552488
124,0.0,0.0
125,0.003284072249589491,0.0029276453366792136
126,0.008210180623973728,0.0012547051442910915
127,0.011494252873563218,0.008364700961940611
128,0.0,0.0
129,0.0,0.0
130,0.006568144499178982,0.001672940192388122
131,0.0016420361247947454,0.0075282308657465494
132,0.0,0.0
133,0.041050903119868636,0.01589293182768716
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.011494252873563218,0.0
142,0.021346469622331693,0.005437055625261397
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.014778325123152709,0.010037641154328732
147,0.0,0.0
148,0.013136288998357963,0.0
149,0.0,0.0
150,0.0,0.0
151,0.003284072249589491,0.002091175240485153
